id,title,year,doi_or_arxiv,decision,section_fit,reason
C53,"ArtiFact: A Large-Scale Dataset with Artificial and Factual Images for Generalizable and Robust Synthetic Image Detection",2023,"arXiv:2302.11970","include-primary","4","Meets criteria; large robustness-focused dataset named in outline"
C54,"WildFake: A Large-Scale and Hierarchical Dataset for AI-Generated Images Detection",2025,"arXiv:2402.11843","include-secondary","4","In scope; additional dataset row for the comparison table"
C55,"Synthbuster: Towards Detection of Diffusion Model Generated Images",2024,"doi:10.1109/OJSP.2023.3337714","include-secondary","4, 3.1","In scope; dataset+detector, secondary to keep dataset table manageable"
C56,"TWIGMA: A dataset of AI-Generated Images with Metadata From Twitter",2023,"arXiv:2306.08310","include-secondary","4, 1","In scope; in-the-wild circulation evidence for introduction/datasets"
C57,"Synthetic Image Verification in the Era of Generative AI: What Works and What Isn't There Yet",2024,"arXiv:2405.00196","include-secondary","6, 7","In scope; overview with experiments, useful for synthesis narrative"
C58,"Detecting Multimedia Generated by Large AI Models: A Survey",2024,"arXiv:2402.00045","background","1, 6","Survey without own experiments; frames what this review adds"
C59,"GAN-generated Faces Detection: A Survey and New Perspectives",2023,"arXiv:2202.07145","background","1, 3","Survey; positions this review against prior GAN-face surveys"
C60,"Media Forensics and DeepFakes: An Overview",2020,"arXiv:2001.06564","background","1, 3.1","Canonical early survey; pre-diffusion state of the field"
C61,"Grad-CAM: Visual Explanations from Deep Networks via Gradient-based Localization",2017,"arXiv:1610.02391","background","3.5","Method paper for the planned XAI technique; outside 2019-2026 detection-study window"
C62,"Grad-CAM++: Improved Visual Explanations for Deep Convolutional Networks",2018,"arXiv:1710.11063","background","3.5","Method paper; cited alongside Grad-CAM"
C63,"Towards Quantitative Evaluation of Explainable AI Methods for Deepfake Detection",2024,"arXiv:2404.18649","include-primary","3.5","Meets criteria; quantitative XAI evaluation on a deepfake image detector"
C64,"Interpretable-Through-Prototypes Deepfake Detection for Diffusion Models",2023,"doi:10.1109/ICCVW60793.2023.00053","include-primary","3.5","Meets criteria; peer-reviewed workshop study; IEEE DOI confirmed 8 Aug 2026"
C65,"TruthLens: Visual Grounding for Universal DeepFake Reasoning",2025,"arXiv:2503.15867","exclude","-","Fails inclusion criterion: preprint with 1 citation (S2, 8 Aug 2026) - not a well-cited preprint"
C66,"Generative Adversarial Networks",2014,"arXiv:1406.2661","background","2","Foundational generator paper; background for Section 2"
C67,"Analyzing and Improving the Image Quality of StyleGAN",2020,"arXiv:1912.04958","background","2","Generator background for Section 2"
C68,"Denoising Diffusion Probabilistic Models",2020,"arXiv:2006.11239","background","2","Generator background for Section 2"
C69,"High-Resolution Image Synthesis with Latent Diffusion Models",2022,"arXiv:2112.10752","background","2","Generator background; CIFAKE's fake-class generator"
C70,"An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale",2021,"arXiv:2010.11929","background","2, 3.3","Architecture background; Semester 8 ViT benchmark"
C71,"Learning Transferable Visual Models From Natural Language Supervision",2021,"arXiv:2103.00020","background","3.4","Architecture background for CLIP-based detectors"
C72,"Deep Residual Learning for Image Recognition",2016,"arXiv:1512.03385","background","3.2","Backbone background; Semester 8 ResNet50"
C73,"Densely Connected Convolutional Networks",2017,"arXiv:1608.06993","background","3.2","Backbone background; Semester 8 DenseNet121"
C74,"EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks",2019,"arXiv:1905.11946","background","3.2","Backbone background; Semester 8 EfficientNet-B0"
C75,"Very Deep Convolutional Networks for Large-Scale Image Recognition",2015,"arXiv:1409.1556","background","3.2","Backbone background; Semester 8 VGG19"
