id,study_author_year,detection_approach,model_architecture,dataset_used,generators_covered,reported_accuracy_auc,cross_generator_tested,key_limitation
C36,"Yan et al., 2025","Hybrid low-level (frequency/noise) + high-level (semantic) mixture-of-experts detection; proposes in-the-wild Chameleon benchmark","AIDE: DCT scoring module + SRM noise filters + OpenCLIP semantic encoder","AIGCDetectBenchmark, GenImage, Chameleon (proposed)","ProGAN, StyleGAN/2, BigGAN, CycleGAN, StarGAN, GauGAN, ADM, Glide, SD v1.4/1.5, VQDM, Wukong, Midjourney, DALLE-2/3","92.77% mean acc on AIGCDetectBenchmark, 86.88% on GenImage; drops to 65.77% on Chameleon","yes - 16+ generators across benchmarks","All tested detectors near-fail on realistic Chameleon images; problem 'far from being solved'"
C37,"Ojha et al., 2023","Real-vs-fake classification without training the backbone: nearest-neighbor / linear probing in frozen vision-language feature space","CLIP ViT-L/14 visual encoder (last-layer features) + NN or linear probe","ProGAN real/fake training set (720k images); ForenSynths + diffusion/AR test sets","ProGAN, StyleGAN, BigGAN, CycleGAN, StarGAN, GauGAN, CRN, IMLE, SAN, SITD, DeepFakes, Guided, LDM, Glide, DALL-E","+15.07 mAP / +25.90% acc over SoTA on unseen diffusion and autoregressive models","yes - GAN-trained, tested on diffusion/AR","Why frozen CLIP feature space separates real from fake 'remains an open question'"
C38,"Cozzolino et al., 2024","Few-shot CLIP-feature forensics: linear SVM on frozen CLIP features from a handful of reference images","CLIP ViT-L/14 (next-to-last-layer features) + linear SVM","Few paired real/fake reference images (10 to 10k) from a single generator; 18-generator test suite","18 generators: ProGAN, StyleGAN2/3/T, GigaGAN, Score-SDE, ADM, GLIDE, eDiff-I, LDM, SD variants, DiT, DeepFloyd-IF, DALL-E 2/3, Midjourney v5, Firefly","~90.0% avg AUC across 18 generators; +6% AUC OOD and +13% on impaired data vs SoTA","yes - 18 generators, 3 families","Interpretability lacking: which forensic features CLIP exploits is not yet understood"
C39,"Koutlis & Papadopoulos, 2024","Synthetic-image detection from intermediate CLIP encoder-block representations with learnable importance weighting","RINE: frozen CLIP ViT-L/14 intermediate blocks + lightweight trainable projection/weighting network","ProGAN training data (1/2/4-class settings); 20 test datasets","ProGAN, StyleGAN/2, BigGAN, CycleGAN, StarGAN, GauGAN, DeepFake, SITD, SAN, CRN, IMLE, Guided, LDM (3), Glide (3), DALL-E","91.5% avg accuracy and 98.8 AP (4-class training) across 20 test sets; +10.6% ACC over SoTA","yes - 20 test sets, GANs + diffusion","Combined perturbations (blur + crop + compression + noise) considerably reduce performance"
C40,"Liu et al., 2024","Forgery-aware adaptive transfer of CLIP: adapter over image + frequency domains with language-guided alignment","FatFormer (CLIP-ViT + forgery-aware adapter + text-prompt alignment)","ProGAN 4-class training set; unseen GAN and diffusion test sets","GANs and diffusion models (unseen at test time)","98% accuracy on unseen GANs, 95% on unseen diffusion models","yes - unseen GANs and diffusion models","Trained on ProGAN data only; authors state room to improve on diffusion models, e.g. Guided, and that GAN vs diffusion artefact relationships remain unresolved"
C41,"Tan et al., 2025","Category-common prompt injected into CLIP text encoder to embed detection semantics into image features","C2P-CLIP (CLIP ViT-L/14 with category common prompt)","UniversalFakeDetect (ProGAN train, 19 test subsets) and GenImage (SDv1.4 train)","20 generation models (UniversalFakeDetect subsets + GenImage diffusion models)","93.79% accuracy / 98.66% mAP on UniversalFakeDetect 19 test subsets; 95.8% acc on GenImage","yes - 20 generation models","Word-frequency prompt analysis lacks full-caption analysis, giving incomplete information"
C43,"Khan & Dang-Nguyen, 2024","Adapting vision-language model (CLIP) via prompt tuning for universal detection","CLIP ViT (prompt tuning; vs linear probe, fine-tune, adapter)","ProGAN 200k train; 21 test datasets","GANs, diffusion models, commercial tools","98.06% mAP / 89.45% avg accuracy across 18 unseen generators (prompt tuning)","yes - 21 unseen test datasets","Performance drops on commercial-tool images under JPEG compression"
C44,"Coccomini et al., 2022","Cross-forgery comparison of ViT vs CNN classifiers","ViT-Base vs EfficientNetV2-M","ForgeryNet (15 manipulation methods)","GAN/reenactment/swap methods incl. FaceShifter, StyleGAN2, Talking Head Video, FS-GAN, Deepfakes, ATVG-net","Accuracy on unseen methods: EfficientNetV2-M 47.0-57.0% (81.1% seen) vs ViT-Base ~62.0% on all three","yes - trained on subsets, tested on all 15 methods","Accuracies remain rather low on novel unseen methods"
C48,"Yan et al., 2025","Orthogonal subspace decomposition (SVD) of frozen foundation-model features (Effort)","CLIP ViT-L/14 (BEiT-v2, SigLIP ablations)","ProGAN train; 19 UniversalFakeDetect test subsets (also FF++ for deepfakes)","ProGAN, CycleGAN, BigGAN, StyleGAN, GauGAN, StarGAN, Guided/Latent Diffusion, GLIDE, DALL-E","99.41% mAP / 95.19% mAcc across 19 test subsets incl. unseen generators","yes - 19 unseen-generator subsets","No technical limitations discussed; only misuse risk acknowledged"
C51,"Bird & Lotfi, 2024","CNN binary real-vs-fake classification with Grad-CAM explainability","Custom CNN (best of 36 topologies: 2 conv layers x32 filters + dense 64)","CIFAKE: 120,000 images (60k CIFAR-10 real + 60k synthetic)","Stable Diffusion v1.4 (latent diffusion)","92.98% accuracy on CIFAKE test set","no - single generator (SDv1.4) only","Single generator at 32px resolution; classification driven by background imperfections"
C52,"Zhu et al., 2023","Million-scale benchmark with cross-generator and degraded-image evaluation tasks","ResNet-50, DeiT-S, Swin-T, CNNSpot, Spec, F3Net, GramNet","GenImage: >1M fake pairs + 1,331,167 ImageNet real","Midjourney, SD v1.4, SD v1.5, ADM, GLIDE, Wukong, VQDM, BigGAN","ResNet-50 accuracy 99.9% same-generator (SD1.4) but 54.9% tested on Midjourney","yes - defined cross-generator classification task","Detectors degrade sharply cross-generator and on low-res/JPEG/blurred images"
C53,"Rahman et al., 2023","Large-scale dataset + multi-class classification with filter stride reduction","ConvNeXt-Large (modified stem)","ArtiFact: 2,496,738 images (964,989 real / 1,531,749 fake)","25 methods: 13 GANs, 7 diffusion, 5 miscellaneous","Accuracy 96.04% / 83.00% / 90.60% on IEEE VIP Cup 2022 Tests 1-3","yes - unseen generators in challenge tests","State-of-the-art detectors still struggle on generators unseen during training"
C63,"Tsigos et al., 2024","Quantitative evaluation framework for XAI methods on a deepfake detector","EfficientNetV2 detector; Grad-CAM++, RISE, SHAP, LIME, SOBOL compared","FaceForensics++","Four face forgery types: DeepFakes, FaceSwap, Face2Face, NeuralTextures","LIME best: top-1 segment accuracy drop 0.245 (DF) to 0.579 (NT)","no - single detector on FF++ only","F2F and FS fakes remain most challenging for explanation methods"
C64,"Aghasanli et al., 2023","Interpretable prototype-based detection via ViT features + SVM support vectors","Fine-tuned ViT + SVM (repo also uses xDNN, KNN, Naive Bayes)","Custom datasets built from ImageNet, FFHQ, Oxford-IIIT Pet","Diffusion models (Stable Diffusion; various diffusion generative techniques)","Within-dataset best 99.5% (Oxford-IIIT Pet), 96.7% (image-to-image ImageNet), 99.7% (class-conditional ImageNet), 99.4% (FFHQ) with fine-tuned ViT + MLP head; SVM on fine-tuned features 93.0-97.2%; cross-dataset 81.3% and 84.0%","no - cross-dataset only (both sets generated by Stable Diffusion image-to-image); no unseen-generator test","Lack of open datasets; evaluated only on self-created custom datasets"
